DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVK,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,35.551369,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SVN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,38.296929,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ESP,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,36.682055,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SWE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,41.437904,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CHE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,27.169048,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),TUR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,23.954049,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GBR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,34.366806,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),USA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,25.618333,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),OECD_REP,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,34.062721,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ATG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,19.79412518,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ARG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,27.62703567,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BHS,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,19.34522791,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BRB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,30.73916343,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BLZ,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,24.50710522,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BOL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,23.60497369,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BRA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,33.67750895,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),BGR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,30.45549451,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CMR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,14.5352375,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),TCD,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,9.229707418,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),COG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,11.54953875,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CIV,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,13.8623881,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),HRV,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,38.42602458,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),CUB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,22.90668346,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),DOM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,14.68854633,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),ECU,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,21.69419775,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),EGY,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,13.00171477,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),SLV,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,23.59301442,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GNQ,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,6.910501907,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GAB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,15.12230733,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GMB,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,11.38534893,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GHA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,14.57106089,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GRD,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,23.49678618,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GTM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,14.31954624,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GIN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,12.79219435,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),GUY,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,9.19298542,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),HND,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,21.07336846,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),JAM,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,30.70062514,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),KEN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,15.63141895,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),LBR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,11.75147767,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),LIE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,21.06934295,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_GLOBAL@DF_RSGLOBAL(2.1),MDG,TAX_REV,S13,_T,_T,PT_B1GQ,A,2024,12.18996505,A,0,TOTALTAX,1,_Z
