tax_name,tax_name_english,english_explanation,revenue_eur,revenue_pct_gdp,source_for_data,notes
Kapitalertragsteuer und Zinsabschlag,capital gains tax and interest income deduction,Eurostat National Tax Lists line classified as ESA code D51M. Economic function: SPLIT1.,34651000000,0.804845,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Gewerbesteuer PHH,Trade tax,Eurostat National Tax Lists line classified as ESA code D51M. Economic function: self-employed capital income.,13479000000,0.313079,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51M; DETAILS C04; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Steuern auf Umbewertungsgewinne,,Eurostat National Tax Lists line classified as ESA code D51C1. Economic function: SPLIT1.,12916000000,0.300002,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51C1; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Körperschaftsteuer,Corporate tax,Eurostat National Tax Lists line classified as ESA code D51O. Economic function: corporate capital income.,42693000000,0.991638,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Kapitalertragsteuer und Zinsabschlag,capital gains tax and interest income deduction,Eurostat National Tax Lists line classified as ESA code D51O. Economic function: corporate capital income.,18662000000,0.433466,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C02; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Gewerbesteuer KG,Trade tax,Eurostat National Tax Lists line classified as ESA code D51O. Economic function: corporate capital income.,61782000000,1.435022,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C03; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
EU-Energiekrisenbeitrag,,Eurostat National Tax Lists line classified as ESA code D51O. Economic function: corporate capital income.,1936000000,0.044968,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51O; DETAILS C05; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Steuern auf Umbewertungsgewinne,,Eurostat National Tax Lists line classified as ESA code D51C2. Economic function: corporate capital income.,6112000000,0.141965,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51C2; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Einkommensteuer der übrigen Welt,,Eurostat National Tax Lists line classified as ESA code D51E. Economic function: household capital income.,15172000000,0.352403,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D51E; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
Kraftfahrzeugsteuer von privaten Haushalten,Motor vehicle tax,Eurostat National Tax Lists line classified as ESA code D59D. Economic function: consumption. Environmental/property tag: transport.,7358000000,0.170906,"Eurostat, National Tax Lists - individual taxes, updated 22 Apr 2026; file: code/data/germany_tax/eurostat_national_tax_lists_2025_2026-04-22.xlsx; DE sheet; STO D59D; DETAILS C01; 2024","Eurostat NTL covers general government plus EU institutions (S.13 + S.212), so local taxes and compulsory social contributions are in scope."
